trade_date,scope,level1_industry_name,turn_daily_std
2013-01-14,行业,计算机,6.390662825272365
2013-01-14,行业,轻工制造,2.9380029142553137
2013-01-14,行业,通信,7.012318268896225
2013-01-14,行业,钢铁,1.7645053117007732
2013-01-14,行业,银行,0.7603452347179754
2013-01-14,行业,非银行金融,3.954628042563426
2013-01-14,行业,食品饮料,3.566803951697676
2013-01-15,全A,全A,4.837795482670927
2013-01-15,行业,交通运输,3.1103629347401687
2013-01-15,行业,传媒,5.462962521700095
2013-01-15,行业,农林牧渔,5.363088324058886
2013-01-15,行业,医药,4.234728647474578
2013-01-15,行业,商贸零售,2.75206186964572
2013-01-15,行业,国防军工,5.036358486380148
2013-01-15,行业,基础化工,5.600943343601286
2013-01-15,行业,家电,4.2665345138588435
2013-01-15,行业,建材,3.5601140851792694
2013-01-15,行业,建筑,4.872676703582581
2013-01-15,行业,房地产,2.651670504520977
2013-01-15,行业,有色金属,4.600619609614959
2013-01-15,行业,机械,5.95818715843018
2013-01-15,行业,汽车,3.6220270327732313
2013-01-15,行业,消费者服务,5.095757440694194
2013-01-15,行业,煤炭,1.384666840763248
2013-01-15,行业,电力及公用事业,6.69301089891452
2013-01-15,行业,电力设备及新能源,4.078442056541458
2013-01-15,行业,电子,4.7943060857073645
2013-01-15,行业,石油石化,7.306504342469391
2013-01-15,行业,纺织服装,2.8587028379740373
2013-01-15,行业,综合,2.711228646653272
2013-01-15,行业,综合金融,2.0926629347821666
2013-01-15,行业,计算机,5.634329596780055
2013-01-15,行业,轻工制造,4.057043446663248
2013-01-15,行业,通信,5.496600906592988
2013-01-15,行业,钢铁,2.002425577406045
2013-01-15,行业,银行,0.7253737252559309
2013-01-15,行业,非银行金融,3.0937660326181557
2013-01-15,行业,食品饮料,3.3492174934494585
2013-01-16,全A,全A,4.535601010889919
2013-01-16,行业,交通运输,3.3453657081095303
2013-01-16,行业,传媒,4.184978553994802
2013-01-16,行业,农林牧渔,4.425871684298248
2013-01-16,行业,医药,3.256480491527698
2013-01-16,行业,商贸零售,3.9288724888910442
2013-01-16,行业,国防军工,6.555756658343745
2013-01-16,行业,基础化工,5.050919113684721
2013-01-16,行业,家电,3.5799333887935285
2013-01-16,行业,建材,3.6658091970542466
2013-01-16,行业,建筑,5.977073473306776
2013-01-16,行业,房地产,2.225336552392883
2013-01-16,行业,有色金属,5.792816577556284
2013-01-16,行业,机械,5.254975184611131
2013-01-16,行业,汽车,4.99164351911544
2013-01-16,行业,消费者服务,3.5189509283619618
2013-01-16,行业,煤炭,2.1380977880160095
2013-01-16,行业,电力及公用事业,5.359809409330338
2013-01-16,行业,电力设备及新能源,3.284318434356254
2013-01-16,行业,电子,3.6879189552615292
2013-01-16,行业,石油石化,4.825876605017355
2013-01-16,行业,纺织服装,2.6000474220290677
2013-01-16,行业,综合,1.9114007304853684
2013-01-16,行业,综合金融,19.296402925804593
2013-01-16,行业,计算机,5.050889459557226
2013-01-16,行业,轻工制造,3.2432132957954947
2013-01-16,行业,通信,4.402396421935207
2013-01-16,行业,钢铁,2.8266203520581543
2013-01-16,行业,银行,0.5424968159660786
2013-01-16,行业,非银行金融,2.4397921141187715
2013-01-16,行业,食品饮料,2.913564946127491
2013-01-17,全A,全A,3.9767909081334567
2013-01-17,行业,交通运输,2.2050431316944157
2013-01-17,行业,传媒,2.866610731121165
2013-01-17,行业,农林牧渔,2.655380058764774
2013-01-17,行业,医药,2.5686510486297456
2013-01-17,行业,商贸零售,2.5859738464760027
2013-01-17,行业,国防军工,6.95259275340886
2013-01-17,行业,基础化工,3.818902456440526
2013-01-17,行业,家电,2.8306483087076963
2013-01-17,行业,建材,3.869586985053332
2013-01-17,行业,建筑,4.2863200255795215
2013-01-17,行业,房地产,2.1396660191059795
2013-01-17,行业,有色金属,7.73937139280121
2013-01-17,行业,机械,4.229143033443993
2013-01-17,行业,汽车,2.794356425151293
2013-01-17,行业,消费者服务,2.5224634956337577
2013-01-17,行业,煤炭,1.0888932770758057
2013-01-17,行业,电力及公用事业,5.880346526002892
2013-01-17,行业,电力设备及新能源,3.7149341331630974
2013-01-17,行业,电子,3.1854016042787747
2013-01-17,行业,石油石化,5.539510874960505
2013-01-17,行业,纺织服装,2.850026695113073
2013-01-17,行业,综合,2.0150156517175413
2013-01-17,行业,综合金融,10.64517635540989
2013-01-17,行业,计算机,4.230109154877924
2013-01-17,行业,轻工制造,2.6107935530013333
2013-01-17,行业,通信,3.934056751210832
2013-01-17,行业,钢铁,2.022550941312092
2013-01-17,行业,银行,0.5389997689779963
2013-01-17,行业,非银行金融,3.479343050087421
2013-01-17,行业,食品饮料,2.4008081005543733
2013-01-18,全A,全A,3.497954909747788
2013-01-18,行业,交通运输,2.066363384756203
2013-01-18,行业,传媒,4.037539437458563
2013-01-18,行业,农林牧渔,3.964622077977673
2013-01-18,行业,医药,2.3253586786581377
2013-01-18,行业,商贸零售,2.3552527130588707
2013-01-18,行业,国防军工,4.818367460035813
2013-01-18,行业,基础化工,3.6585759890066822
2013-01-18,行业,家电,3.3443596231517847
2013-01-18,行业,建材,3.480288666965913
2013-01-18,行业,建筑,3.435157225907407
2013-01-18,行业,房地产,3.094683030859078
2013-01-18,行业,有色金属,5.013955770465036
2013-01-18,行业,机械,3.9363235874682507
2013-01-18,行业,汽车,3.8857900402004484
2013-01-18,行业,消费者服务,2.8510936136023988
2013-01-18,行业,煤炭,1.9118014466917268
2013-01-18,行业,电力及公用事业,4.72546153666667
2013-01-18,行业,电力设备及新能源,3.3636416491959302
2013-01-18,行业,电子,3.304117494675967
2013-01-18,行业,石油石化,3.1672774107066384
2013-01-18,行业,纺织服装,1.9475679477287589
2013-01-18,行业,综合,1.579247415406043
2013-01-18,行业,综合金融,10.098156992133653
2013-01-18,行业,计算机,3.099964419262983
2013-01-18,行业,轻工制造,3.660948345471095
2013-01-18,行业,通信,2.8535661755455077
2013-01-18,行业,钢铁,1.6094777755449154
2013-01-18,行业,银行,0.620237667350186
2013-01-18,行业,非银行金融,2.7617953585838184
2013-01-18,行业,食品饮料,2.31631285340434
2013-01-21,全A,全A,3.508495739855358
